ID,employee_id,camera_no,confidence,name,time,branch_id,status
143569,2020122002,3,0.66,,2024-05-07 09:24:55,,0
143738,2013050202,3,0.65,,2024-05-07 09:42:06,,0
143743,2022061601,3,0.67,,2024-05-07 09:43:03,,0
143745,2021062202,0,0.64,,2024-05-07 09:43:13,,0
143795,2024012103,3,0.65,,2024-05-07 09:48:00,,0
143835,2021110106,3,0.65,,2024-05-07 09:53:03,,0
143938,2018021103,3,0.64,,2024-05-07 10:17:52,,0
143953,2023032202,1,0.66,,2024-05-07 10:38:42,,0
143969,2008120102,0,0.66,,2024-05-07 11:06:37,,0
144042,2023031301,0,0.7,,2024-05-07 13:39:21,,0
144075,2008120103,1,0.65,,2024-05-07 14:49:16,,0
144406,2017091403,2,0.68,,2024-05-07 18:55:50,,0
144407,2016120115,0,0.64,,2024-05-07 18:56:26,,0
144409,2006042701,1,0.66,,2024-05-07 18:58:04,,0
144410,2007050901,3,0.66,,2024-05-07 18:58:04,,0
144413,2022031501,2,0.66,,2024-05-07 18:58:24,,0
144414,2022081001,0,0.66,,2024-05-07 18:58:25,,0
144415,2009072102,0,0.71,,2024-05-07 18:58:28,,0
144419,2011041702,1,0.67,,2024-05-07 18:58:35,,0
144424,2019102104,0,0.65,,2024-05-07 19:00:00,,0
144428,2021021501,0,0.66,,2024-05-07 19:01:28,,0
144429,2019100105,0,0.63,,2024-05-07 19:01:37,,0
144430,2006110109,0,0.68,,2024-05-07 19:01:46,,0
144431,2006051004,1,0.66,,2024-05-07 19:01:52,,0
144432,2006060102,0,0.69,,2024-05-07 19:02:14,,0
144437,2011031309,0,0.69,,2024-05-07 19:02:34,,0
144440,2007121709,0,0.64,,2024-05-07 19:06:18,,0
144441,2011042801,0,0.66,,2024-05-07 19:06:24,,0
144442,2009070702,0,0.65,,2024-05-07 19:06:26,,0
144447,2009071501,0,0.68,,2024-05-07 19:06:39,,0
144449,2009073002,0,0.65,,2024-05-07 19:06:42,,0
144451,2006080112,0,0.64,,2024-05-07 19:06:48,,0
144453,2009071904,0,0.69,,2024-05-07 19:06:53,,0
144454,2021032503,0,0.72,,2024-05-07 19:08:44,,0
144458,2023103101,0,0.63,,2024-05-07 19:09:26,,0
144464,2014071306,0,0.72,,2024-05-07 19:11:59,,0
144468,2007121710,0,0.7,,2024-05-07 19:13:35,,0
144472,2002041505,3,0.64,,2024-05-07 19:15:04,,0
144473,2016013101,0,0.63,,2024-05-07 19:15:30,,0
144474,2015040201,0,0.72,,2024-05-07 19:19:56,,0
144475,2004071501,0,0.68,,2024-05-07 19:19:59,,0
144476,2014071701,0,0.63,,2024-05-07 19:20:01,,0
144477,2023080601,2,0.63,,2024-05-07 19:20:02,,0
144479,2020032501,2,0.7,,2024-05-07 19:20:06,,0
144480,2014071513,0,0.66,,2024-05-07 19:20:06,,0
144483,2012061001,2,0.63,,2024-05-07 19:20:29,,0
144484,2006011501,0,0.64,,2024-05-07 19:22:14,,0
144485,2021060104,0,0.65,,2024-05-07 19:22:21,,0
144486,2022080302,3,0.71,,2024-05-07 19:23:24,,0
144487,2018121902,0,0.64,,2024-05-07 19:24:12,,0
144489,2015070601,0,0.67,,2024-05-07 19:25:42,,0
144492,2015062402,0,0.64,,2024-05-07 19:27:41,,0
144493,2010032301,2,0.7,,2024-05-07 19:27:50,,0
144494,2006112901,0,0.65,,2024-05-07 19:28:25,,0
144495,2013060507,0,0.66,,2024-05-07 19:28:57,,0
144496,2023121301,3,0.68,,2024-05-07 19:29:29,,0
144498,2001060201,0,0.64,,2024-05-07 19:31:57,,0
144501,2008042002,0,0.65,,2024-05-07 19:32:01,,0
144504,2020121402,1,0.64,,2024-05-07 19:33:28,,0
144505,2024032401,3,0.65,,2024-05-07 19:34:02,,0
144506,2022110305,2,0.64,,2024-05-07 19:34:03,,0
144507,2009060401,0,0.67,,2024-05-07 19:34:08,,0
144510,2015041301,1,0.64,,2024-05-07 19:34:30,,0
144511,2007053110,0,0.66,,2024-05-07 19:35:52,,0
144512,2019010105,2,0.66,,2024-05-07 19:37:39,,0
144513,2013030302,0,0.67,,2024-05-07 19:41:49,,0
144516,2011120801,0,0.64,,2024-05-07 19:42:29,,0
144517,2019120102,0,0.66,,2024-05-07 19:42:47,,0
144518,2022101103,0,0.63,,2024-05-07 19:42:52,,0
144523,2009121501,0,0.63,,2024-05-07 19:54:54,,0
144524,2013060218,0,0.67,,2024-05-07 19:55:15,,0
144526,2023032202,0,0.63,,2024-05-07 20:00:47,,0
144527,2002022801,0,0.65,,2024-05-07 20:01:21,,0
144530,2009061001,1,0.64,,2024-05-07 20:02:42,,0
144531,2011032704,1,0.77,,2024-05-07 20:02:46,,0
144532,2017082002,1,0.7,,2024-05-07 20:02:52,,0
144534,2012102201,1,0.65,,2024-05-07 20:04:09,,0
144536,2002020205,2,0.73,,2024-05-07 20:05:10,,0
144541,2012062105,2,0.72,,2024-05-07 20:09:37,,0
144542,2013022401,1,0.7,,2024-05-07 20:09:38,,0
144543,2012092307,0,0.7,,2024-05-07 20:09:44,,0
144544,2007120302,3,0.7,,2024-05-07 20:10:19,,0
144545,2008032702,3,0.64,,2024-05-07 20:10:38,,0
144546,2011040304,1,0.69,,2024-05-07 20:12:24,,0
144548,2018122301,3,0.71,,2024-05-07 20:13:26,,0
144551,2012061101,3,0.69,,2024-05-07 20:13:44,,0
144558,2009050701,3,0.65,,2024-05-07 20:17:57,,0
144559,2013013101,2,0.67,,2024-05-07 20:20:05,,0
144561,2003070802,1,0.72,,2024-05-07 20:21:23,,0
144563,2015040601,1,0.65,,2024-05-07 20:21:28,,0
144564,2009010502,0,0.68,,2024-05-07 20:22:29,,0
144565,2012110106,3,0.66,,2024-05-07 20:26:33,,0
144567,2011030623,1,0.63,,2024-05-07 20:26:58,,0
144570,2016120117,0,0.73,,2024-05-07 20:33:57,,0
144572,2013010102,0,0.68,,2024-05-07 20:34:01,,0
144575,2021022505,2,0.65,,2024-05-07 20:35:14,,0
144577,2007053105,3,0.65,,2024-05-07 20:40:49,,0
144582,2007030401,1,0.64,,2024-05-07 20:53:16,,0
144583,2007052301,3,0.67,,2024-05-07 20:55:30,,0
144585,2012110105,1,0.68,,2024-05-07 21:01:04,,0
144589,2009043001,1,0.64,,2024-05-07 21:08:19,,0
144590,2013051301,0,0.77,,2024-05-07 21:10:12,,0
144592,2019031001,0,0.63,,2024-05-07 21:16:14,,0
144593,2023102201,0,0.69,,2024-05-07 21:16:16,,0
144595,2021122902,1,0.67,,2024-05-07 21:16:23,,0
144596,2018021103,0,0.66,,2024-05-07 21:20:59,,0
144598,2017021202,3,0.67,,2024-05-07 21:23:27,,0
144612,2002072802,0,0.65,,2024-05-07 22:03:06,,0
